Store code,Taxi Rank Name - English,District/Community - English,Taxi Rank Name - Arabic,District/Community - Arabic,Latitude,Longitude,Primary category
TXR_101,RTA Taxi Rank Abu Hail Metro Station Seaside A,Hor Al Anz,مواقف مركبات الأجرة محطة مترو أبو هيل شمال A,هور العنز,25.276212,55.34732,Taxi stand
TXR_102,RTA Taxi Rank Abu Hail Metro Station B,Hor Al Anz,مواقف مركبات الأجرة محطة مترو أبو هيل ب,هور العنز,25.27624,55.346146,Taxi stand
TXR_103,RTA Taxi Rank Abu Hail Metro Station C,Salah Al Din Road,مواقف مركبات الأجرة محطة مترو أبو هيل ج,طريق صلاح الدين,25.275307,55.347157,Taxi stand
TXR_104,RTA Taxi Rank Sharaf DG Metro Station B 2,Al Souq Al Kabeer,مواقف مركبات الأجرة محطة مترو شرف دي جي ب 2,السوق الكبير,25.257434,55.296989,Taxi stand
TXR_105,RTA Taxi Rank Creek Metro Station,Al Jadaf,مواقف مركبات الأجرة محطة مترو الخور,الجداف,25.219494,55.338303,Taxi stand
TXR_106,"RTA Taxi Rank UAE Exchange Metro Station, Seaside  (Inside Jebel Ali Port)",Jebel Ali,مواقف مركبات الأجرة محطة مترو الإمارات العربية المتحدة للصرافة شمال (داخل ميناء جبل علي),جبل علي,24.97767,55.088664,Taxi stand
TXR_107,"RTA Taxi Rank UAE Exchange, Landside",Jebel Ali,مواقف مركبات الأجرة الإمارات العربية المتحدة للصرافة جنوب,جبل علي,24.976919,55.09116,Taxi stand
TXR_108,RTA Taxi Rank The Palm Jumeirah,The Palm Jumeirah,مواقف مركبات الأجرة جزيرة النخلة جميرا,جزيرة النخلة جميرا,25.116871,55.136336,Taxi stand
TXR_109,RTA Taxi Rank King Salman Bin Abdulaziz Al Soud St.,Behind Arjaan By Rotana Hotel,مواقف مركبات الأجرة شارع الملك سلمان بن عبد العزيز ال سعود,خلف فندق ارجان روتانا,25.094947,55.154394,Taxi stand
TXR_110,RTA Taxi Rank Al Thaniya Street Barsha Heights,Al Barsha Heights,مواقف مركبات الأجرة شارع الثنية برشا هايتس,البرشاء هايتس,25.095731,55.177456,Taxi stand
TXR_111,"RTA Taxi Rank Sama Building , Al Barsha",Al Barsha 1,"مواقف مركبات الأجرة مبنى سما ، البرشاء",البرشاء 1,25.109234,55.203023,Taxi stand
TXR_112,RTA Taxi Rank Umm Suqeim Street,"Al Quoz, Umm Suqeim Road",مواقف مركبات الأجرة شارع ام سقيم,"القوز ، طريق أم سقيم",25.111982,55.218784,Taxi stand
TXR_113,RTA Taxi Rank Al Khail Gate ,Inside Al Khail Gate Area,مواقف مركبات الأجرة بوابة الخيل,داخل منطقة بوابة الخيل,25.139649,55.253557,Taxi stand
TXR_114,RTA Taxi Rank Dubai Offshore Sailing Club,Umm Squeim 1,مواقف مركبات الأجرة نادي دبي للإبحار البحري,أم سقيم 1,25.174446,55.21814,Taxi stand
TXR_115,"RTA Taxi Rank Ghoroob, Mirdif",Mirdif Area,"مواقف مركبات الأجرة غروب ، مردف",منطقة مردف,25.211504,55.417871,Taxi stand
TXR_116,RTA Taxi Rank Mankhool Road Near Standard Chartered Tower,Ak Mankhool Area,مواقف مركبات الأجرة طريق المنخول بالقرب من بنك ستاندرد تشارترد,منطقة أك منخول,25.25246,55.291681,Taxi stand
TXR_117,RTA Taxi Rank Garhoud Near Millennium Airport Hotel,Al Garhoud,مواقف مركبات الأجرة القرهود بالقرب من فندق ميلينيوم المطار,القرهود,25.250201,55.344459,Taxi stand
TXR_118,RTA Taxi Rank Deira City Center,Port Saeed,مواقف مركبات الأجرة ديرة سيتي سنتر,ميناء سعيد,25.253307,55.330206,Taxi stand
TXR_119,"RTA Taxi Rank Khaleej Road, Waterfront Market",Corniche Deira,"مواقف مركبات الأجرة شارع الخليج ، سوق الواجهة البحرية",كورنيش ديرة,25.291471,55.323995,Taxi stand
TXR_120,"RTA Taxi Rank Behind Sahara Center, Al Nahda 1",Al Nahda 1,"مواقف مركبات الأجرة خلف مركز صحارى ، النهدة 1",النهدة 1,25.296851,55.370199,Taxi stand
TXR_121,"RTA Taxi Rank Near Dubai Carmel School, Al Amman Street",Al Nahda 1,"مواقف مركبات الأجرة بالقرب من مدرسة دبي كرمل ، شارع عمان",النهدة 1,25.298405,55.380486,Taxi stand
TXR_122,RTA Taxi Rank Habtoor Ballroom Hotel,Sheikh Zayed Road,مواقف مركبات الأجرة حبتور بالاس,شارع الشيخ زايد,25.184263,55.254003,Taxi stand
TXR_123,RTA Taxi Rank Al Mamzar ,Khaleej Street,مواقف مركبات الأجرة الممزر,شارع الخليج,25.314621,55.342397,Taxi stand
TXR_124,"RTA Taxi Rank Mirdif, Uptown Shopping Centre",Mirdif,"مواقف مركبات الأجرة أبتاون مردف ، مركز تسوق ",مردف,25.224303,55.424004,Taxi stand
TXR_125,RTA Taxi Rank Vida Downtown Dubai,Downtown,مواقف مركبات الأجرة فيدا داون تاون دبي,وسط المدينة,25.18993,55.27416,Taxi stand
TXR_126,RTA Taxi Rank Shangri-La Hotel,Sheikh Zayed Road,مواقف مركبات الأجرة فندق شانغريلا,شارع الشيخ زايد,25.208492,55.272459,Taxi stand
TXR_127,RTA Taxi Rank Gloria Hotel ,Al Sufouh 2,مواقف مركبات الأجرة فندق جلوريا,الصفوح 2,25.103122,55.17139,Taxi stand
TXR_128,RTA Taxi Rank Grand Millennium Hotel Dubai,Barsha Heights,مواقف مركبات الأجرة فندق جراند ميلينيوم دبي,البرشاء,25.101627,55.177249,Taxi stand
TXR_129,RTA Taxi Rank Oasis Center,Al Quoz 1,مواقف مركبات الأجرة مركز الواحة,القوز 1,25.170001,55.24116,Taxi stand
TXR_130,RTA Taxi Rank Rashid Hospital,Umm Hurair 2,مواقف مركبات الأجرة مستشفى راشد,أم هرير 2,25.244677,55.318101,Taxi stand
TXR_131,RTA Taxi Rank Al Maktoum International Airport,Dubai South,مواقف مركبات الأجرة مطار آل مكتوم الدولي,دبي الجنوب,24.885799,55.15677,Taxi stand
TXR_132,RTA Taxi Rank Bollywood Parks Dubai Park & Resorts,Sheikh Zayed Rd,مواقف مركبات الأجرة بوليوود باركس دبي بارك آند ريزورتس,شارع الشيخ زايد,24.915753,55.007915,Taxi stand
TXR_133,RTA Taxi Rank Motiongate Dubai- Dubai Parks And Resorts ,Sheikh Zayed Rd,مواقف مركبات الأجرة موشون جيت دبي - دبي باركس آند ريزورتس,شارع الشيخ زايد,24.921158,55.008388,Taxi stand
TXR_134,RTA Taxi Rank Global Village,Global Village,مواقف مركبات الأجرة القرية العالمية,القرية العالمية,25.072645,55.306568,Taxi stand
TXR_135,RTA Taxi Rank Lamcy Plaza,Oud Metha,مواقف مركبات الأجرة لامسي بلازا,عود ميثاء,25.234569,55.30787,Taxi stand
TXR_136,RTA Taxi Rank Sobha Properties,Nadd Al Sheba,مواقف مركبات الأجرة عقارات شوبا,ند الشبا,25.177385,55.308565,Taxi stand
TXR_137,RTA Taxi Rank Emirates HQ,Airport Road,مواقف مركبات الأجرة المكتب الرئيسي لمجموعة طيران الامارات,شارع المطار,25.242019,55.366098,Taxi stand
TXR_138,RTA Taxi Rank Four Seasons Resort Dubai At Jumeirah Beav,Jumeirah Beach Road,مواقف مركبات الأجرة منتجع فور سيزونز دبي في جميرا بيف,شارع شاطئ جميرا,25.202235,55.240601,Taxi stand
TXR_139,RTA Taxi Rank Al Ghubaiba Bus Station Backside,Al Fahidi,مواقف مركبات الأجرة محطة حافلات الغبيبة الجهة الخلفية,الفهيدي,25.261755,55.288714,Taxi stand
TXR_140,RTA Taxi Rank Discovery Garden 1,Ibn Battuta Street,مواقف مركبات الأجرة ديسكفري جاردن 1,شارع ابن بطوطة,25.044048,55.134959,Taxi stand
TXR_141,RTA Taxi Rank Discovery Garden 2,Ibn Battuta Street,مواقف مركبات الأجرة ديسكفري جاردن 2,شارع ابن بطوطة,25.044164,55.133608,Taxi stand
TXR_142,RTA Taxi Rank Discovery Garden 3,Ibn Battuta Street,مواقف مركبات الأجرة ديسكفري جاردن 3,شارع ابن بطوطة,25.035241,55.145644,Taxi stand
TXR_143,RTA Taxi Rank Discovery Garden 4,Ibn Battuta Street,مواقف مركبات الأجرة ديسكفري جاردن 4,شارع ابن بطوطة,25.034153,55.146393,Taxi stand
TXR_144,RTA Taxi Rank Discovery Garden 5,Ibn Battuta Street,مواقف مركبات الأجرة ديسكفري جاردن 5,شارع ابن بطوطة,25.030705,55.152477,Taxi stand
TXR_145,RTA Taxi Rank Discovery Garden 6,Ibn Battuta Street,مواقف مركبات الأجرة ديسكفري جاردن 6,شارع ابن بطوطة,25.030818,55.151135,Taxi stand
TXR_146,RTA Taxi Rank Al Satwa Road,Al Satwa,مواقف مركبات الأجرة السطوة,السطوة,25.22778,55.273393,Taxi stand
TXR_147,RTA Taxi Rank Oud Metha Metro Station,Near Oud Metha Bus Station,مواقف مركبات الأجرة محطة مترو عود ميثاء,بالقرب من محطة حافلات عود ميثاء,25.244288,55.313697,Taxi stand
TXR_148,RTA Taxi Rank Souq Naif,Deira Street,مواقف مركبات الأجرة سوق نايف,شارع ديرة,25.271211,55.305302,Taxi stand
TXR_149,RTA Taxi Rank Dusit Thani Hotel,Sheikh Zayed Service Road,مواقف مركبات الأجرة فندق دوسيت تاني,شارع الشيخ زايد,25.206799,55.272998,Taxi stand
TXR_150,RTA Taxi Rank Carlton Downtown Hotel,Sheikh Zayed Service Road,مواقف مركبات الأجرة فندق كارلتون داون تاون,شارع الشيخ زايد,25.209235,55.274458,Taxi stand
TXR_151,RTA Taxi Rank Grand Stay Hotel,Sheikh Zayed Service Road,مواقف مركبات الأجرة فندق جراند ستاي,شارع الشيخ زايد,25.210024,55.274986,Taxi stand
TXR_152,RTA Taxi Rank Financial Centre Metro Station B,Sheikh Zayed Service Road,مواقف مركبات الأجرة محطة مترو المركز المالي ب,شارع الشيخ زايد,25.210274,55.276242,Taxi stand
TXR_153,RTA Taxi Rank Rose Rayhaan By Rotana Hotel,Sheikh Zayed Service Road,مواقف مركبات الأجرة فندق روز ريحان من روتانا,شارع الشيخ زايد,25.21207,55.276378,Taxi stand
TXR_154,RTA Taxi Rank Gevora Hotel,Sheikh Zayed Service Road,مواقف مركبات الأجرة فندق جيفورا,شارع الشيخ زايد,25.212538,55.276713,Taxi stand
TXR_155,RTA Taxi Rank DIP Metro Station Gate2A,Green Community Village,مواقف مركبات الأجرة محطة مترو مجمع دبي للاستثمار Gate2A,قرية جرين كوميونيتي,25.005012,55.155437,Taxi stand
TXR_156,RTA Taxi Rank Burjuman Center B,Al Mankhool ,مواقف مركبات الأجرة مركز برجمان ب,المنخول,25.252164,55.302416,Taxi stand
TXR_157,RTA Taxi Rank IKEA - Festival Center A,Um Ramool,مواقف مركبات الأجرة ايكيا -  فستيفال سيتي أ,ام رمول,25.223393,55.35665,Taxi stand
TXR_158,RTA Taxi Rank IKEA - Festival Center B,Um Ramool,مواقف مركبات الأجرة ايكيا - فستيفال سيتي ب,ام رمول,25.22314,55.356545,Taxi stand
TXR_159,RTA Taxi Rank Discovery Gardens,Jabel Ali Village Discovery Gardens,مواقف مركبات الأجرة ديسكفري جاردنز,ديسكفري جاردنز قرية جبل علي,25.049114,55.127934,Taxi stand
TXR_160,RTA Taxi Rank JLT Gold Tower,Jumeirah Lake Towers,مواقف مركبات الأجرة برج الذهب جى ال تى,أبراج بحيرة جميرا,25.069305,55.143497,Taxi stand
TXR_161,RTA Taxi Rank Near Al Zahra Hospital,Al Barsha 1,مواقف مركبات الأجرة بالقرب من مستشفى الزهراء,البرشاء 1,25.106863,55.182029,Taxi stand
TXR_162,RTA Taxi Rank Noora Tower,Dubai Canal Amna Tower,مواقف مركبات الأجرة برج نورة,قناة دبي,25.183572,55.256687,Taxi stand
TXR_163,RTA Taxi Rank Deyaar Development PJSC (Sales Center),Business Bay,مواقف مركبات الأجرة ديار للتطوير ش م ع (مركز المبيعات),الخليج التجاري,25.185849,55.265272,Taxi stand
TXR_164,RTA Taxi Rank Burj Khalifa/Dubai Mall Metro Station D,Downtown,مواقف مركبات الأجرة برج خليفة / محطة مترو دبي مول ,وسط المدينة,25.199611,55.269617,Taxi stand
TXR_165,RTA Taxi Rank Sheraton Grand Hotel,Trade Centre 1,مواقف مركبات الأجرة فندق شيراتون جراند,المركز التجاري 1,25.2294,55.286938,Taxi stand
TXR_166,RTA Taxi Rank Canadian Specialist Hospital,Deira,مواقف مركبات الأجرة المستشفى الكندي التخصصي,ديرة,25.277937,55.348866,Taxi stand
TXR_167,RTA Taxi Rank Endocrinologist Dubai Prime Hospital,Garhoud,مواقف مركبات الأجرة مستشفى أخصائي الغدد الصماء دبي برايم,القرهود,25.249479,55.345593,Taxi stand
TXR_168,RTA Taxi Rank Mediclinic Welcare Hospital,Garhoud,مواقف مركبات الأجرة مستشفى ميديكلينيك ويلكير,القرهود,25.247277,55.339583,Taxi stand
TXR_169,RTA Taxi Rank Circle K Store Holiday Inn Hotel,Garhoud,مواقف مركبات الأجرة فندق سيركل كيه ستور هوليداي إن,القرهود,25.242223,55.360819,Taxi stand
TXR_170,RTA Taxi Rank Dubai Residential Oasis,Al Qusais Industrial Area,مواقف مركبات الأجرة واحة دبي السكنية,منطقة القصيص الصناعية,25.282865,55.38868,Taxi stand
TXR_171,RTA Taxi Rank Dubai Grand Hotel By Fortune,Al Qusais 1,مواقف مركبات الأجرة فندق دبي جراند من فورتشن,القصيص 1,25.273194,55.381453,Taxi stand
TXR_172,RTA Taxi Rank Lulu Village,Muhaisnah - Muhaisnah 4,مواقف مركبات الأجرة قرية اللولو,محيصنة - محيصنة 4,25.281425,55.411293,Taxi stand
TXR_173,RTA Taxi Rank Al Ghubaibah Taxi Station Backside,Al Fahidi,مواقف مركبات الأجرة محطة تاكسي الغبيبة الجهة الخلفية,الفهيدي,25.261776,55.28874,Taxi stand
TXR_174,RTA Taxi Rank Internet City Al Jaddi Street,Internet City,مواقف مركبات الأجرة مدينة الإنترنت شارع الجدي,مدينة دبي للإنترنت,25.101013,55.16942,Taxi stand
TXR_175,RTA Taxi Rank Ansar Gallery,Khalid Bin Waleed Rd,مواقف مركبات الأجرة أنصار جاليري ,شارع خالد بن الوليد,25.252236,55.309019,Taxi stand
TXR_176,RTA Taxi Rank Dubai Frame Zabeel Park,Za'Abeel - Al Kifaf,مواقف مركبات الأجرة برواز دبي - حديقة زعبيل,زعبيل - الكفاف,25.234252,55.301575,Taxi stand
TXR_177,RTA Taxi Rank DIP Metro Station Gate 2B,Green Community Village,مواقف مركبات الأجرة محطة مترو مجمع دبي للإستثمار بوابة 2 ب,قرية جرين كوميونيتي,25.004211,55.155189,Taxi stand
TXR_178,RTA Taxi Rank DIP Metro Station Gate 2A,Green Community Village,مواقف مركبات الأجرة محطة مترو مجمع دبي للإستثمار بوابة 2 أ,قرية جرين كوميونيتي,25.006111,55.15568,Taxi stand
TXR_179,RTA Taxi Rank DIP Metro Station Gate 1,Green Community Village,مواقف مركبات الأجرة محطة مترو مجمع دبي للإستثمار بوابة 1,قرية جرين كوميونيتي,25.0041,55.155572,Taxi stand
TXR_180,RTA Taxi Rank RAK Bank Near Burjuman Metro Station,Al Hamriya,مواقف مركبات الأجرة بنك رأس الخيمة بالقرب من محطة مترو برجمان,الحمرية,25.256451,55.305663,Taxi stand
TXR_181,RTA Taxi Rank Jebel Ali Metro Station Landside,Jebel Ali,مواقف مركبات الأجرة محطة مترو جبل علي جنوب,جبل علي,25.057292,55.127001,Taxi stand
TXR_182,"RTA Taxi Rank Deira Palm, Night Market 1",Palm Deira,"مواقف مركبات الأجرة نخلة ديرة ، السوق الليلي 1",نخلة ديرة,25.29166,55.311688,Taxi stand
TXR_183,RTA Taxi Rank Seniors Happiness Centre,Mamzar,مواقف مركبات الأجرة مركز سعادة كبار المواطنين,الممزر,25.298022,55.345618,Taxi stand
TXR_184,RTA Taxi Rank Al Nahda Fitness Centre,Al Nahda,مواقف مركبات الأجرة مركز النهدة للياقة البدنية,النهدة,25.28258,55.372335,Taxi stand
TXR_185,RTA Taxi Rank Claridge Hotel Dubai ,Deira,مواقف مركبات الأجرة فندق كلاريدج دبي,ديرة,25.270999,55.316488,Taxi stand
TXR_186,RTA Taxi Rank Salah Al Din Metro Station 2,Deira Salah Al Din Road,مواقف مركبات الأجرة محطة مترو صلاح الدين 2,ديرة شارع صلاح الدين,25.270472,55.318509,Taxi stand
TXR_187,RTA Taxi Rank Abu Baker Al Siddique Metro Station 1,Salah Al Din Road,مواقف مركبات الأجرة محطة مترو أبو بكر الصديق 1,شارع صلاح الدين,25.2708,55.333412,Taxi stand
TXR_188,RTA Taxi Rank Duja Tower ,Sheikh Zayed Road,مواقف مركبات الأجرة برج دجى,شارع الشيخ زايد,25.229243,55.286041,Taxi stand
TXR_189,RTA Taxi Rank Dubai Court Personal Status Court,Al Garhoud,مواقف مركبات الأجرة محكمة دبي للأحوال الشخصية,القرهود,25.23505,55.355183,Taxi stand
TXR_190,RTA Taxi Rank Commercial Tower,Sheikh Zayed Road,مواقف مركبات الأجرة برج تجاري,شارع الشيخ زايد,25.221078,55.28105,Taxi stand
TXR_191,RTA Taxi Rank DoubleTree By Hilton Jumeirah,Dubai Marina,مواقف مركبات الأجرة دبل تري من هيلتون جميرا,مرسى دبي,25.071991,55.127904,Taxi stand
TXR_192,RTA Taxi Rank City Star Hotel,Al Barsha,مواقف مركبات الأجرة فندق سيتى ستار,البرشاء,25.109086,55.203145,Taxi stand
TXR_193,RTA Taxi Rank Emarat Petrol HQ,Umm Amar Road,مواقف مركبات الأجرة الامارات للبترول HQ,شارع أم عمار,25.191612,55.258374,Taxi stand
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
